Cell, Hotspot, Strength 
C3,3c:08:f6:fb:31:d0, -70
C3,3c:08:f6:ff:a3:20, -71
C3,3c:08:f6:e6:ef:20, -75
C3,b8:38:61:13:9b:bf, -83
C3,3c:08:f6:f5:45:2f, -84
C3,3c:08:f6:ff:a3:2f, -65
C3,b8:38:61:13:9e:df, -88
C3,3c:08:f6:fb:43:90, -79
C3,3c:08:f6:fb:31:df, -76
C3,5c:50:15:d1:f1:0f, -88
C3,3c:08:f6:fb:43:9f, -74
C3,3c:08:f6:e6:ef:2f, -76
C3,3c:08:f6:e6:f1:2f, -84
C1,3c:08:f6:fb:31:d0, -72
C1,3c:08:f6:ff:a3:20, -77
C1,3c:08:f6:e6:ef:20, -76
C1,3c:08:f6:e6:ef:2f, -78
C1,3c:08:f6:fb:43:9f, -81
C1,b8:38:61:13:9b:bf, -88
C1,3c:08:f6:ff:a3:2f, -70
C1,3c:08:f6:fb:31:df, -79
C2,3c:08:f6:fb:31:d0, -70
C2,3c:08:f6:e6:ef:20, -75
C2,3c:08:f6:e6:ef:2f, -75
C2,3c:08:f6:fb:43:9f, -76
C2,3c:08:f6:f5:45:2f, -86
C2,3c:08:f6:ff:a3:2f, -68
C2,3c:08:f6:e6:f1:2f, -87
C2,3c:08:f6:fb:43:90, -79
C2,3c:08:f6:fb:31:df, -78
